Wavelength (nm),S01,S02,S03,S04,S05
353,0.755456,0.028448,0.076228,0.314143,0.077721
354,0.774754,0.028154,0.069580,0.315000,0.085946
355,0.792819,0.027990,0.063567,0.314143,0.095038
356,0.809539,0.027947,0.058168,0.311588,0.105012
357,0.824807,0.028016,0.053359,0.307380,0.115867
358,0.838525,0.028194,0.049105,0.301592,0.127586
359,0.850605,0.028478,0.045370,0.294324,0.140132
360,0.860966,0.028868,0.042114,0.285700,0.153451
361,0.869540,0.029369,0.039297,0.275864,0.167466
362,0.876269,0.029985,0.036876,0.264974,0.182077
363,0.881109,0.030724,0.034811,0.253203,0.197164
364,0.884026,0.031597,0.033062,0.240729,0.212588
365,0.885000,0.032615,0.031592,0.227734,0.228188
366,0.884026,0.033793,0.030365,0.214397,0.243786
367,0.881109,0.035147,0.029350,0.200894,0.259192
368,0.876269,0.036696,0.028516,0.187390,0.274204
369,0.869540,0.038461,0.027838,0.174038,0.288614
370,0.860966,0.040463,0.027292,0.160977,0.302212
371,0.850605,0.042728,0.026858,0.148328,0.314791
372,0.838525,0.045283,0.026518,0.136197,0.326154
373,0.824807,0.048155,0.026258,0.124667,0.336116
374,0.809539,0.051377,0.026064,0.113806,0.344512
375,0.792819,0.054980,0.025926,0.103661,0.351198
376,0.774753,0.058999,0.025835,0.094264,0.356059
377,0.755455,0.063471,0.025785,0.085630,0.359010
378,0.735041,0.068432,0.025770,0.077759,0.360000
379,0.713634,0.073922,0.025787,0.070639,0.359010
380,0.691360,0.079982,0.025833,0.064247,0.356059
381,0.668346,0.086653,0.025905,0.058551,0.351198
382,0.644720,0.093976,0.026004,0.053513,0.344512
383,0.620610,0.101995,0.026129,0.049088,0.336116
384,0.596141,0.110751,0.026281,0.045230,0.326154
385,0.571436,0.120286,0.026462,0.041889,0.314791
386,0.546616,0.130642,0.026673,0.039017,0.302212
387,0.521796,0.141859,0.026918,0.036565,0.288614
388,0.497085,0.153973,0.027199,0.034486,0.274204
389,0.472587,0.167021,0.027520,0.032734,0.259192
390,0.448399,0.181035,0.027886,0.031269,0.243786
391,0.424611,0.196044,0.028301,0.030051,0.228188
392,0.401306,0.212071,0.028771,0.029046,0.212588
393,0.378557,0.229137,0.029302,0.028222,0.197165
394,0.356430,0.247255,0.029901,0.027550,0.182077
395,0.334985,0.266433,0.030574,0.027007,0.167466
396,0.314271,0.286671,0.031329,0.026570,0.153452
397,0.294329,0.307964,0.032176,0.026221,0.140133
398,0.275194,0.330297,0.033123,0.025944,0.127586
399,0.256893,0.353646,0.034181,0.025725,0.115867
400,0.239443,0.377979,0.035359,0.025554,0.105012
401,0.222857,0.403255,0.036671,0.025421,0.095039
402,0.207140,0.429424,0.038127,0.025318,0.085946
403,0.192293,0.456423,0.039742,0.025239,0.077722
404,0.178307,0.484182,0.041529,0.025178,0.070338
405,0.165172,0.512621,0.043502,0.025132,0.063758
406,0.152873,0.541648,0.045678,0.025098,0.057938
407,0.141388,0.571163,0.048074,0.025072,0.052827
408,0.130695,0.601056,0.050705,0.025053,0.048370
409,0.120767,0.631209,0.053591,0.025039,0.044511
410,0.111575,0.661496,0.056750,0.025028,0.041193
411,0.103088,0.691782,0.060201,0.025021,0.038361
412,0.095274,0.721927,0.063966,0.025015,0.035959
413,0.088098,0.751785,0.068064,0.025012,0.033935
414,0.081527,0.781206,0.072517,0.025009,0.032243
415,0.075525,0.810035,0.077347,0.025007,0.030836
416,0.070058,0.838118,0.082575,0.025006,0.029675
417,0.065092,0.865297,0.088224,0.025006,0.028724
418,0.060592,0.891419,0.094317,0.025006,0.027948
419,0.056526,0.916328,0.100875,0.025006,0.027321
420,0.052861,0.939877,0.107921,0.025007,0.026816
421,0.049566,0.961921,0.115476,0.025008,0.026413
422,0.046612,0.982324,0.123562,0.025010,0.026093
423,0.043970,1.000954,0.132199,0.025011,0.025841
424,0.041614,1.017694,0.141407,0.025013,0.025644
425,0.039517,1.032434,0.151203,0.025016,0.025490
426,0.037656,1.045077,0.161604,0.025019,0.025372
427,0.036008,1.055539,0.172627,0.025022,0.025280
428,0.034554,1.063751,0.184284,0.025027,0.025211
429,0.033273,1.069656,0.196587,0.025032,0.025158
430,0.032147,1.073216,0.209544,0.025038,0.025119
431,0.031161,1.074405,0.223163,0.025045,0.025090
432,0.030298,1.073216,0.237446,0.025053,0.025068
433,0.029546,1.069656,0.252395,0.025063,0.025052
434,0.028892,1.063751,0.268007,0.025075,0.025041
435,0.028325,1.055540,0.284275,0.025088,0.025033
436,0.027834,1.045077,0.301190,0.025104,0.025027
437,0.027410,1.032435,0.318739,0.025123,0.025024
438,0.027044,1.017695,0.336903,0.025145,0.025021
439,0.026731,1.000955,0.355660,0.025170,0.025020
440,0.026462,0.982324,0.374985,0.025200,0.025020
441,0.026232,0.961922,0.394848,0.025234,0.025020
442,0.026036,0.939878,0.415213,0.025274,0.025021
443,0.025869,0.916329,0.436040,0.025320,0.025022
444,0.025727,0.891420,0.457288,0.025374,0.025023
445,0.025607,0.865299,0.478907,0.025435,0.025025
446,0.025506,0.838119,0.500845,0.025507,0.025027
447,0.025421,0.810037,0.523046,0.025589,0.025029
448,0.025349,0.781208,0.545450,0.025683,0.025031
449,0.025289,0.751787,0.567991,0.025791,0.025034
450,0.025239,0.721929,0.590604,0.025915,0.025037
451,0.025197,0.691784,0.613216,0.026056,0.025040
452,0.025162,0.661499,0.635754,0.026218,0.025043
453,0.025133,0.631212,0.658142,0.026402,0.025047
454,0.025109,0.601059,0.680302,0.026612,0.025051
455,0.025089,0.571166,0.702153,0.026850,0.025055
456,0.025073,0.541652,0.723613,0.027120,0.025060
457,0.025060,0.512625,0.744602,0.027426,0.025065
458,0.025049,0.484187,0.765036,0.027771,0.025070
459,0.025040,0.456428,0.784834,0.028161,0.025076
460,0.025033,0.429429,0.803914,0.028600,0.025082
461,0.025027,0.403262,0.822197,0.029093,0.025088
462,0.025022,0.377986,0.839604,0.029646,0.025095
463,0.025018,0.353653,0.856061,0.030266,0.025103
464,0.025015,0.330305,0.871495,0.030960,0.025111
465,0.025013,0.307973,0.885838,0.031734,0.025120
466,0.025011,0.286681,0.899024,0.032596,0.025129
467,0.025010,0.266443,0.910993,0.033556,0.025139
468,0.025009,0.247266,0.921691,0.034621,0.025150
469,0.025008,0.229149,0.931067,0.035802,0.025162
470,0.025008,0.212084,0.939077,0.037108,0.025174
471,0.025008,0.196058,0.945684,0.038552,0.025187
472,0.025008,0.181051,0.950857,0.040143,0.025201
473,0.025008,0.167039,0.954570,0.041894,0.025217
474,0.025008,0.153992,0.956807,0.043818,0.025233
475,0.025008,0.141879,0.957556,0.045927,0.025250
476,0.025009,0.130665,0.956813,0.048236,0.025269
477,0.025009,0.120311,0.954583,0.050759,0.025288
478,0.025010,0.110777,0.950877,0.053510,0.025310
479,0.025011,0.102023,0.945711,0.056505,0.025332
480,0.025012,0.094007,0.939110,0.059759,0.025356
481,0.025013,0.086686,0.931107,0.063288,0.025382
482,0.025014,0.080018,0.921738,0.067108,0.025409
483,0.025015,0.073962,0.911048,0.071236,0.025439
484,0.025016,0.068474,0.899087,0.075688,0.025470
485,0.025017,0.063516,0.885909,0.080479,0.025503
486,0.025019,0.059048,0.871575,0.085627,0.025539
487,0.025021,0.055032,0.856150,0.091147,0.025577
488,0.025022,0.051432,0.839702,0.097055,0.025617
489,0.025024,0.048213,0.822304,0.103365,0.025661
490,0.025027,0.045342,0.804032,0.110092,0.025707
491,0.025029,0.042789,0.784962,0.117250,0.025756
492,0.025031,0.040525,0.765176,0.124849,0.025809
493,0.025034,0.038521,0.744754,0.132903,0.025865
494,0.025037,0.036753,0.723779,0.141420,0.025925
495,0.025040,0.035197,0.702332,0.150409,0.025989
496,0.025043,0.033832,0.680496,0.159877,0.026058
497,0.025047,0.032637,0.658352,0.169829,0.026131
498,0.025051,0.031594,0.635981,0.180267,0.026210
499,0.025055,0.030687,0.613460,0.191191,0.026294
500,0.025060,0.029899,0.590867,0.202600,0.026385
501,0.025065,0.029218,0.568275,0.214491,0.026482
502,0.025070,0.028631,0.545754,0.226854,0.026586
503,0.025076,0.028127,0.523373,0.239682,0.026698
504,0.025082,0.027695,0.501196,0.252960,0.026819
505,0.025088,0.027327,0.479284,0.266674,0.026949
506,0.025095,0.027015,0.457692,0.280805,0.027090
507,0.025103,0.026752,0.436473,0.295330,0.027242
508,0.025111,0.026531,0.415676,0.310224,0.027406
509,0.025120,0.026347,0.395344,0.325459,0.027583
510,0.025129,0.026195,0.375516,0.341003,0.027776
511,0.025139,0.026071,0.356227,0.356822,0.027985
512,0.025150,0.025971,0.337509,0.372877,0.028212
513,0.025161,0.025892,0.319386,0.389128,0.028459
514,0.025174,0.025832,0.301882,0.405531,0.028728
515,0.025187,0.025787,0.285013,0.422039,0.029021
516,0.025201,0.025756,0.268794,0.438604,0.029341
517,0.025216,0.025737,0.253234,0.455173,0.029690
518,0.025232,0.025729,0.238341,0.471694,0.030072
519,0.025249,0.025730,0.224116,0.488111,0.030490
520,0.025268,0.025740,0.210559,0.504368,0.030947
521,0.025287,0.025757,0.197666,0.520405,0.031447
522,0.025308,0.025780,0.185433,0.536164,0.031996
523,0.025330,0.025810,0.173849,0.551586,0.032597
524,0.025354,0.025846,0.162903,0.566611,0.033256
525,0.025379,0.025887,0.152582,0.581180,0.033978
526,0.025406,0.025933,0.142872,0.595233,0.034771
527,0.025435,0.025984,0.133755,0.608713,0.035640
528,0.025465,0.026039,0.125213,0.621563,0.036593
529,0.025498,0.026100,0.117227,0.633729,0.037638
530,0.025532,0.026165,0.109778,0.645159,0.038783
531,0.025569,0.026234,0.102843,0.655802,0.040038
532,0.025608,0.026309,0.096401,0.665612,0.041412
533,0.025649,0.026388,0.090432,0.674545,0.042915
534,0.025693,0.026472,0.084912,0.682561,0.044559
535,0.025739,0.026561,0.079819,0.689625,0.046356
536,0.025788,0.026655,0.075132,0.695704,0.048317
537,0.025840,0.026754,0.070828,0.700772,0.050458
538,0.025895,0.026859,0.066887,0.704806,0.052791
539,0.025953,0.026970,0.063287,0.707789,0.055331
540,0.026015,0.027086,0.060008,0.709707,0.058093
541,0.026080,0.027209,0.057029,0.710554,0.061095
542,0.026149,0.027338,0.054333,0.710327,0.064352
543,0.026222,0.027473,0.051899,0.709029,0.067882
544,0.026299,0.027615,0.049711,0.706669,0.071703
545,0.026380,0.027765,0.047751,0.703259,0.075834
546,0.026466,0.027922,0.046003,0.698817,0.080293
547,0.026556,0.028086,0.044453,0.693368,0.085100
548,0.026651,0.028258,0.043085,0.686939,0.090274
549,0.026751,0.028439,0.041886,0.679562,0.095835
550,0.026857,0.028628,0.040843,0.671273,0.101802
551,0.026968,0.028826,0.039944,0.662114,0.108197
552,0.027085,0.029032,0.039178,0.652129,0.115037
553,0.027208,0.029249,0.038534,0.641364,0.122343
554,0.027337,0.029475,0.038003,0.629872,0.130133
555,0.027472,0.029711,0.037576,0.617703,0.138425
556,0.027615,0.029958,0.037245,0.604914,0.147236
557,0.027764,0.030215,0.037002,0.591562,0.156582
558,0.027921,0.030483,0.036839,0.577705,0.166479
559,0.028086,0.030763,0.036752,0.563402,0.176939
560,0.028258,0.031055,0.036733,0.548714,0.187975
561,0.028439,0.031359,0.036778,0.533701,0.199597
562,0.028628,0.031675,0.036881,0.518422,0.211811
563,0.028825,0.032004,0.037039,0.502938,0.224625
564,0.029032,0.032346,0.037248,0.487306,0.238042
565,0.029249,0.032701,0.037504,0.471585,0.252060
566,0.029475,0.033071,0.037804,0.455829,0.266680
567,0.029711,0.033454,0.038145,0.440093,0.281893
568,0.029958,0.033852,0.038524,0.424428,0.297693
569,0.030215,0.034266,0.038940,0.408884,0.314067
570,0.030483,0.034694,0.039391,0.393508,0.330999
571,0.030763,0.035138,0.039874,0.378343,0.348470
572,0.031055,0.035598,0.040389,0.363431,0.366457
573,0.031359,0.036074,0.040933,0.348811,0.384933
574,0.031675,0.036566,0.041506,0.334516,0.403867
575,0.032004,0.037076,0.042107,0.320579,0.423224
576,0.032346,0.037602,0.042735,0.307029,0.442966
577,0.032701,0.038147,0.043389,0.293890,0.463050
578,0.033071,0.038708,0.044068,0.281184,0.483430
579,0.033454,0.039289,0.044772,0.268931,0.504057
580,0.033852,0.039887,0.045500,0.257147,0.524876
581,0.034266,0.040504,0.046252,0.245843,0.545831
582,0.034694,0.041140,0.047027,0.235030,0.566863
583,0.035138,0.041795,0.047826,0.224715,0.587908
584,0.035598,0.042469,0.048647,0.214902,0.608901
585,0.036074,0.043162,0.049490,0.205592,0.629775
586,0.036566,0.043876,0.050356,0.196784,0.650461
587,0.037076,0.044609,0.051244,0.188476,0.670887
588,0.037602,0.045362,0.052153,0.180663,0.690982
589,0.038147,0.046136,0.053084,0.173337,0.710673
590,0.038708,0.046929,0.054035,0.166490,0.729887
591,0.039289,0.047743,0.055008,0.160111,0.748551
592,0.039887,0.048577,0.056002,0.154189,0.766593
593,0.040504,0.049432,0.057015,0.148711,0.783943
594,0.041140,0.050307,0.058049,0.143663,0.800531
595,0.041795,0.051203,0.059102,0.139030,0.816291
596,0.042469,0.052119,0.060175,0.134797,0.831157
597,0.043162,0.053055,0.061267,0.130947,0.845069
598,0.043876,0.054012,0.062377,0.127463,0.857969
599,0.044609,0.054988,0.063506,0.124330,0.869803
600,0.045362,0.055985,0.064653,0.121529,0.880521
601,0.046136,0.057002,0.065817,0.119045,0.890079
602,0.046929,0.058038,0.066997,0.116858,0.898438
603,0.047743,0.059093,0.068194,0.114954,0.905562
604,0.048577,0.060167,0.069407,0.113314,0.911423
605,0.049432,0.061261,0.070635,0.111923,0.915999
606,0.050307,0.062372,0.071877,0.110763,0.919272
607,0.051203,0.063502,0.073133,0.109821,0.921232
608,0.052119,0.064649,0.074402,0.109079,0.921875
609,0.053055,0.065814,0.075684,0.108524,0.921202
610,0.054012,0.066995,0.076977,0.108141,0.919222
611,0.054988,0.068192,0.078281,0.107916,0.915948
612,0.055985,0.069405,0.079595,0.107836,0.911401
613,0.057002,0.070633,0.080918,0.107890,0.905607
614,0.058038,0.071876,0.082250,0.108063,0.898599
615,0.059093,0.073132,0.083588,0.108346,0.890412
616,0.060167,0.074401,0.084933,0.108728,0.881090
617,0.061261,0.075683,0.086284,0.109197,0.870679
618,0.062372,0.076977,0.087639,0.109746,0.859231
619,0.063502,0.078281,0.088997,0.110363,0.846801
620,0.064649,0.079595,0.090357,0.111042,0.833448
621,0.065814,0.080918,0.091718,0.111773,0.819235
622,0.066995,0.082250,0.093080,0.112550,0.804226
623,0.068192,0.083588,0.094440,0.113364,0.788489
624,0.069405,0.084933,0.095798,0.114210,0.772091
625,0.070633,0.086284,0.097152,0.115082,0.755103
626,0.071876,0.087639,0.098502,0.115973,0.737596
627,0.073132,0.088997,0.099846,0.116879,0.719640
628,0.074401,0.090357,0.101183,0.117793,0.701308
629,0.075683,0.091718,0.102511,0.118713,0.682667
630,0.076977,0.093080,0.103829,0.119632,0.663789
631,0.078281,0.094440,0.105137,0.120548,0.644740
632,0.079595,0.095798,0.106432,0.121457,0.625587
633,0.080918,0.097152,0.107714,0.122354,0.606394
634,0.082250,0.098502,0.108981,0.123238,0.587221
635,0.083588,0.099846,0.110232,0.124104,0.568127
636,0.084933,0.101183,0.111466,0.124950,0.549168
637,0.086284,0.102511,0.112681,0.125775,0.530396
638,0.087639,0.103829,0.113875,0.126574,0.511860
639,0.088997,0.105137,0.115049,0.127346,0.493605
640,0.090357,0.106432,0.116200,0.128090,0.475673
641,0.091718,0.107714,0.117328,0.128803,0.458101
642,0.093080,0.108981,0.118430,0.129483,0.440924
643,0.094440,0.110232,0.119507,0.130130,0.424171
644,0.095798,0.111466,0.120555,0.130741,0.407870
645,0.097152,0.112681,0.121576,0.131315,0.392043
646,0.098502,0.113875,0.122566,0.131851,0.376708
647,0.099846,0.115049,0.123526,0.132348,0.361882
648,0.101183,0.116200,0.124453,0.132804,0.347576
649,0.102511,0.117328,0.125348,0.133220,0.333799
650,0.103829,0.118430,0.126208,0.133594,0.320557
651,0.105137,0.119507,0.127034,0.133926,0.307851
652,0.106432,0.120555,0.127823,0.134214,0.295683
653,0.107714,0.121576,0.128575,0.134459,0.284048
654,0.108981,0.122566,0.129289,0.134659,0.272941
655,0.110232,0.123526,0.129965,0.134815,0.262356
656,0.111466,0.124453,0.130601,0.134926,0.252283
657,0.112681,0.125348,0.131196,0.134991,0.242709
658,0.113875,0.126208,0.131750,0.135012,0.233624
659,0.115049,0.127034,0.132263,0.134987,0.225012
660,0.116200,0.127823,0.132733,0.134917,0.216858
661,0.117328,0.128575,0.133160,0.134801,0.209145
662,0.118430,0.129289,0.133544,0.134640,0.201858
663,0.119507,0.129965,0.133883,0.134433,0.194977
664,0.120555,0.130601,0.134178,0.134182,0.188486
665,0.121576,0.131196,0.134429,0.133886,0.182365
666,0.122566,0.131750,0.134634,0.133546,0.176595
667,0.123526,0.132263,0.134794,0.133162,0.171159
668,0.124453,0.132733,0.134908,0.132735,0.166038
669,0.125348,0.133160,0.134977,0.132264,0.161213
670,0.126208,0.133544,0.135000,0.131751,0.156667
671,0.127034,0.133883,0.134977,0.131197,0.152382
672,0.127823,0.134178,0.134908,0.130601,0.148341
673,0.128575,0.134429,0.134794,0.129965,0.144528
674,0.129289,0.134634,0.134634,0.129290,0.140926
675,0.129965,0.134794,0.134429,0.128576,0.137521
676,0.130601,0.134908,0.134178,0.127823,0.134297
677,0.131196,0.134977,0.133883,0.127034,0.131241
678,0.131750,0.135000,0.133544,0.126209,0.128340
679,0.132263,0.134977,0.133160,0.125348,0.125582
680,0.132733,0.134908,0.132733,0.124454,0.122954
681,0.133160,0.134794,0.132263,0.123526,0.120446
682,0.133544,0.134634,0.131750,0.122566,0.118047
683,0.133883,0.134429,0.131196,0.121576,0.115749
684,0.134178,0.134178,0.130601,0.120555,0.113541
685,0.134429,0.133883,0.129965,0.119507,0.111417
686,0.134634,0.133544,0.129289,0.118430,0.109368
687,0.134794,0.133160,0.128575,0.117328,0.107388
688,0.134908,0.132733,0.127823,0.116200,0.105470
689,0.134977,0.132263,0.127034,0.115049,0.103609
690,0.135000,0.131750,0.126208,0.113875,0.101800
691,0.134977,0.131196,0.125348,0.112681,0.100038
692,0.134908,0.130601,0.124453,0.111466,0.098319
693,0.134794,0.129965,0.123526,0.110232,0.096638
694,0.134634,0.129289,0.122566,0.108981,0.094994
695,0.134429,0.128575,0.121576,0.107714,0.093383
696,0.134178,0.127823,0.120555,0.106432,0.091801
697,0.133883,0.127034,0.119507,0.105137,0.090248
698,0.133544,0.126208,0.118430,0.103829,0.088722
699,0.133160,0.125348,0.117328,0.102511,0.087219
700,0.132733,0.124453,0.116200,0.101183,0.085740
701,0.132263,0.123526,0.115049,0.099846,0.084283
702,0.131750,0.122566,0.113875,0.098502,0.082847
703,0.131196,0.121576,0.112681,0.097152,0.081431
704,0.130601,0.120555,0.111466,0.095798,0.080034
705,0.129965,0.119507,0.110232,0.094440,0.078657
706,0.129289,0.118430,0.108981,0.093080,0.077298
707,0.128575,0.117328,0.107714,0.091718,0.075957
708,0.127823,0.116200,0.106432,0.090357,0.074635
709,0.127034,0.115049,0.105137,0.088997,0.073330
710,0.126208,0.113875,0.103829,0.087639,0.072044
711,0.125348,0.112681,0.102511,0.086284,0.070776
712,0.124453,0.111466,0.101183,0.084933,0.069526
713,0.123526,0.110232,0.099846,0.083588,0.068294
714,0.122566,0.108981,0.098502,0.082250,0.067081
715,0.121576,0.107714,0.097152,0.080918,0.065886
716,0.120555,0.106432,0.095798,0.079595,0.064710
717,0.119507,0.105137,0.094440,0.078281,0.063553
718,0.118430,0.103829,0.093080,0.076977,0.062415
719,0.117328,0.102511,0.091718,0.075683,0.061296
720,0.116200,0.101183,0.090357,0.074401,0.060197
721,0.115049,0.099846,0.088997,0.073132,0.059118
722,0.113875,0.098502,0.087639,0.071876,0.058058
723,0.112681,0.097152,0.086284,0.070633,0.057019
724,0.111466,0.095798,0.084933,0.069405,0.055999
725,0.110232,0.094440,0.083588,0.068192,0.055000
726,0.108981,0.093080,0.082250,0.066995,0.054022
727,0.107714,0.091718,0.080918,0.065814,0.053063
728,0.106432,0.090357,0.079595,0.064649,0.052126
729,0.105137,0.088997,0.078281,0.063502,0.051208
730,0.103829,0.087639,0.076977,0.062372,0.050312
731,0.102511,0.086284,0.075683,0.061261,0.049436
732,0.101183,0.084933,0.074401,0.060167,0.048580
733,0.099846,0.083588,0.073132,0.059093,0.047746
734,0.098502,0.082250,0.071876,0.058038,0.046931
735,0.097152,0.080918,0.070633,0.057002,0.046137
736,0.095798,0.079595,0.069405,0.055985,0.045364
737,0.094440,0.078281,0.068192,0.054988,0.044610
738,0.093080,0.076977,0.066995,0.054012,0.043877
739,0.091718,0.075683,0.065814,0.053055,0.043163
740,0.090357,0.074401,0.064649,0.052119,0.042469
741,0.088997,0.073132,0.063502,0.051203,0.041795
742,0.087639,0.071876,0.062372,0.050307,0.041140
743,0.086284,0.070633,0.061261,0.049432,0.040504
744,0.084933,0.069405,0.060167,0.048577,0.039887
745,0.083588,0.068192,0.059093,0.047743,0.039289
746,0.082250,0.066995,0.058038,0.046929,0.038709
747,0.080918,0.065814,0.057002,0.046136,0.038147
748,0.079595,0.064649,0.055985,0.045362,0.037602
749,0.078281,0.063502,0.054988,0.044609,0.037076
750,0.076977,0.062372,0.054012,0.043876,0.036566
751,0.075683,0.061261,0.053055,0.043162,0.036074
752,0.074401,0.060167,0.052119,0.042469,0.035598
753,0.073132,0.059093,0.051203,0.041795,0.035138
754,0.071876,0.058038,0.050307,0.041140,0.034694
755,0.070633,0.057002,0.049432,0.040504,0.034266
756,0.069405,0.055985,0.048577,0.039887,0.033852
757,0.068192,0.054988,0.047743,0.039289,0.033454
758,0.066995,0.054012,0.046929,0.038708,0.033071
759,0.065814,0.053055,0.046136,0.038147,0.032701
760,0.064649,0.052119,0.045362,0.037602,0.032346
761,0.063502,0.051203,0.044609,0.037076,0.032004
762,0.062372,0.050307,0.043876,0.036566,0.031675
763,0.061261,0.049432,0.043162,0.036074,0.031359
764,0.060167,0.048577,0.042469,0.035598,0.031055
765,0.059093,0.047743,0.041795,0.035138,0.030763
