Material,Role,Group,Metric,Value,Unit,DisplayLabel,ScatterAxis,ScatterMin,ScatterMax,RadarOrder,Direction,ScaleMin,ScaleMax,MaterialOrder,Marker,EnvelopeInclude,LegendLabel,LegendGroup,LegendIdentity,LegendItemsPerRow
C1,reference,Group C,impact_strength,98.376870,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,9,,,C1,Group C,C1,2
C1,reference,Group C,elongation_at_break,162.525025,%,Elongation,,,,3,higher,0,300,9,,,C1,Group C,C1,2
C2,reference,Group C,density,1.282299,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,10,,,C2,Group C,C2,2
C2,reference,Group C,impact_strength,91.914368,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,10,,,C2,Group C,C2,2
C2,reference,Group C,elongation_at_break,162.296545,%,Elongation,,,,3,higher,0,300,10,,,C2,Group C,C2,2
C3,reference,Group C,density,1.352418,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,11,,,C3,Group C,C3,2
C3,reference,Group C,impact_strength,75.653922,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,11,,,C3,Group C,C3,2
C3,reference,Group C,elongation_at_break,169.341190,%,Elongation,,,,3,higher,0,300,11,,,C3,Group C,C3,2
C4,reference,Group C,density,1.466313,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,12,,,C4,Group C,C4,2
C4,reference,Group C,impact_strength,90.147188,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,12,,,C4,Group C,C4,2
C4,reference,Group C,elongation_at_break,159.115915,%,Elongation,,,,3,higher,0,300,12,,,C4,Group C,C4,2
D1,reference,Group D,density,1.643746,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,13,,,D1,Group D,D1,2
D1,reference,Group D,impact_strength,65.803355,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,13,,,D1,Group D,D1,2
D1,reference,Group D,elongation_at_break,146.031430,%,Elongation,,,,3,higher,0,300,13,,,D1,Group D,D1,2
D2,reference,Group D,density,1.563368,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,14,,,D2,Group D,D2,2
D2,reference,Group D,impact_strength,51.184584,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,14,,,D2,Group D,D2,2
D2,reference,Group D,elongation_at_break,159.848440,%,Elongation,,,,3,higher,0,300,14,,,D2,Group D,D2,2
D3,reference,Group D,density,1.684275,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,15,,,D3,Group D,D3,2
D3,reference,Group D,impact_strength,44.627412,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,15,,,D3,Group D,D3,2
D3,reference,Group D,elongation_at_break,149.307625,%,Elongation,,,,3,higher,0,300,15,,,D3,Group D,D3,2
D4,reference,Group D,density,1.746792,g cm^-3,Density,x,0.85,1.85,1,lower,0.7,1.9,16,,,D4,Group D,D4,2
D4,reference,Group D,impact_strength,66.002580,kJ m^-2,Impact strength,y,20,125,2,higher,0,130,16,,,D4,Group D,D4,2
D4,reference,Group D,elongation_at_break,141.394360,%,Elongation,,,,3,higher,0,300,16,,,D4,Group D,D4,2
