Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance,Wavelength,Absorbance
300,0.237632,300,0.235650,300,0.235003,300,0.234908
301,0.239709,301,0.237540,301,0.236833,301,0.236729
302,0.241414,302,0.239044,302,0.238272,302,0.238157
303,0.242742,303,0.240152,303,0.239310,303,0.239184
304,0.243687,304,0.240859,304,0.239941,304,0.239804
305,0.244247,305,0.241163,305,0.240161,305,0.240011
306,0.244423,306,0.241061,306,0.239970,306,0.239806
307,0.244218,307,0.240556,307,0.239368,307,0.239189
308,0.243638,308,0.239653,308,0.238360,308,0.238164
309,0.242692,309,0.238358,309,0.236952,309,0.236737
310,0.241391,310,0.236681,310,0.235153,310,0.234918
311,0.239749,311,0.234634,311,0.232974,311,0.232718
312,0.237781,312,0.232230,312,0.230429,312,0.230149
313,0.235507,313,0.229488,313,0.227533,313,0.227228
314,0.232945,314,0.226424,314,0.224303,314,0.223971
315,0.230119,315,0.223059,315,0.220760,315,0.220398
316,0.227053,316,0.219414,316,0.216924,316,0.216530
317,0.223772,317,0.215514,317,0.212818,317,0.212388
318,0.220302,318,0.211381,318,0.208465,318,0.207997
319,0.216673,319,0.207043,319,0.203889,319,0.203380
320,0.212912,320,0.202526,320,0.199116,320,0.198563
321,0.209050,321,0.197855,321,0.194172,321,0.193571
322,0.205116,322,0.193059,322,0.189083,322,0.188430
323,0.201141,323,0.188165,323,0.183874,323,0.183165
324,0.197154,324,0.183200,324,0.178573,324,0.177804
325,0.193186,325,0.178192,325,0.173204,325,0.172370
326,0.189267,326,0.173167,326,0.167794,326,0.166889
327,0.185425,327,0.168151,327,0.162366,327,0.161386
328,0.181689,328,0.163169,328,0.156945,328,0.155883
329,0.178086,329,0.158246,329,0.151552,329,0.150402
330,0.174644,330,0.153405,330,0.146210,330,0.144966
331,0.171386,331,0.148667,331,0.140939,331,0.139593
332,0.168338,332,0.144055,332,0.135758,332,0.134303
333,0.165522,333,0.139586,333,0.130684,333,0.129111
334,0.162960,334,0.135280,334,0.125733,334,0.124035
335,0.160670,335,0.131152,335,0.120921,335,0.119087
336,0.158673,336,0.127218,336,0.116259,336,0.114280
337,0.156984,337,0.123492,337,0.111760,337,0.109624
338,0.155620,338,0.119986,338,0.107433,338,0.105130
339,0.154594,339,0.116710,339,0.103287,339,0.100805
340,0.153918,340,0.113673,340,0.099328,340,0.096655
341,0.153604,341,0.110885,341,0.095563,341,0.092685
342,0.153663,342,0.108351,342,0.091995,342,0.088897
343,0.154101,343,0.106078,343,0.088628,343,0.085295
344,0.154926,344,0.104069,344,0.085463,344,0.081880
345,0.156145,345,0.102328,345,0.082500,345,0.078649
346,0.157762,346,0.100858,346,0.079740,346,0.075604
347,0.159781,347,0.099660,347,0.077182,347,0.072740
348,0.162205,348,0.098736,348,0.074823,348,0.070056
349,0.165036,349,0.098084,349,0.072660,349,0.067546
350,0.168275,350,0.097706,350,0.070690,350,0.065207
351,0.171922,351,0.097600,351,0.068909,351,0.063033
352,0.175978,352,0.097765,352,0.067314,352,0.061018
353,0.180442,353,0.098200,353,0.065899,353,0.059157
354,0.185311,354,0.098902,354,0.064659,354,0.057444
355,0.190584,355,0.099871,355,0.063589,355,0.055871
356,0.196260,356,0.101104,356,0.062685,356,0.054432
357,0.202333,357,0.102599,357,0.061941,357,0.053120
358,0.208803,358,0.104355,358,0.061352,358,0.051929
359,0.215665,359,0.106370,359,0.060914,359,0.050852
360,0.222915,360,0.108643,360,0.060620,360,0.049882
361,0.230548,361,0.111171,361,0.060468,361,0.049013
362,0.238561,362,0.113954,362,0.060453,362,0.048238
363,0.246949,363,0.116991,363,0.060570,363,0.047551
364,0.255706,364,0.120281,364,0.060817,364,0.046948
365,0.264826,365,0.123825,365,0.061189,365,0.046421
366,0.274305,366,0.127621,366,0.061684,366,0.045966
367,0.284135,367,0.131670,367,0.062299,367,0.045579
368,0.294310,368,0.135972,368,0.063032,368,0.045253
369,0.304823,369,0.140529,369,0.063881,369,0.044986
370,0.315667,370,0.145341,370,0.064846,370,0.044773
371,0.326835,371,0.150410,371,0.065924,371,0.044610
372,0.338316,372,0.155736,372,0.067115,372,0.044495
373,0.350104,373,0.161322,373,0.068419,373,0.044423
374,0.362189,374,0.167169,374,0.069837,374,0.044393
375,0.374560,375,0.173279,375,0.071368,375,0.044402
376,0.387208,376,0.179655,376,0.073014,376,0.044448
377,0.400122,377,0.186297,377,0.074775,377,0.044529
378,0.413290,378,0.193210,378,0.076654,378,0.044643
379,0.426699,379,0.200394,379,0.078652,379,0.044790
380,0.440338,380,0.207852,380,0.080771,380,0.044967
381,0.454192,381,0.215587,381,0.083014,381,0.045175
382,0.468247,382,0.223599,382,0.085382,382,0.045412
383,0.482489,383,0.231892,383,0.087881,383,0.045678
384,0.496902,384,0.240467,384,0.090511,384,0.045973
385,0.511470,385,0.249325,385,0.093277,385,0.046297
386,0.526176,386,0.258469,386,0.096182,386,0.046649
387,0.541002,387,0.267899,387,0.099231,387,0.047031
388,0.555931,388,0.277616,388,0.102426,388,0.047441
389,0.570943,389,0.287620,389,0.105772,389,0.047882
390,0.586020,390,0.297913,390,0.109273,390,0.048353
391,0.601140,391,0.308494,391,0.112934,391,0.048855
392,0.616285,392,0.319362,392,0.116759,392,0.049390
393,0.631431,393,0.330517,393,0.120751,393,0.049958
394,0.646558,394,0.341957,394,0.124917,394,0.050560
395,0.661644,395,0.353681,395,0.129261,395,0.051198
396,0.676666,396,0.365687,396,0.133787,396,0.051872
397,0.691602,397,0.377970,397,0.138500,397,0.052585
398,0.706427,398,0.390530,398,0.143405,398,0.053338
399,0.721119,399,0.403361,399,0.148506,399,0.054131
400,0.735655,400,0.416458,400,0.153809,400,0.054968
401,0.750009,401,0.429819,401,0.159318,401,0.055849
402,0.764159,402,0.443436,402,0.165039,402,0.056777
403,0.778079,403,0.457303,403,0.170974,403,0.057753
404,0.791748,404,0.471414,404,0.177131,404,0.058779
405,0.805139,405,0.485762,405,0.183512,405,0.059858
406,0.818231,406,0.500338,406,0.190122,406,0.060990
407,0.830998,407,0.515134,407,0.196966,407,0.062180
408,0.843419,408,0.530141,408,0.204049,408,0.063428
409,0.855470,409,0.545349,409,0.211373,409,0.064737
410,0.867129,410,0.560747,410,0.218944,410,0.066109
411,0.878374,411,0.576324,411,0.226765,411,0.067547
412,0.889184,412,0.592069,412,0.234839,412,0.069053
413,0.899537,413,0.607968,413,0.243171,413,0.070630
414,0.909415,414,0.624010,414,0.251763,414,0.072280
415,0.918797,415,0.640180,415,0.260618,415,0.074006
416,0.927666,416,0.656465,416,0.269740,416,0.075810
417,0.936004,417,0.672848,417,0.279131,417,0.077696
418,0.943793,418,0.689317,418,0.288793,418,0.079666
419,0.951020,419,0.705853,419,0.298729,419,0.081723
420,0.957668,420,0.722441,420,0.308939,420,0.083870
421,0.963726,421,0.739065,421,0.319426,421,0.086109
422,0.969179,422,0.755706,422,0.330190,422,0.088444
423,0.974018,423,0.772348,423,0.341233,423,0.090878
424,0.978231,424,0.788971,424,0.352554,424,0.093414
425,0.981812,425,0.805557,425,0.364154,425,0.096054
426,0.984751,426,0.822087,426,0.376033,426,0.098803
427,0.987044,427,0.838543,427,0.388189,427,0.101662
428,0.988685,428,0.854903,428,0.400621,428,0.104636
429,0.989671,429,0.871150,429,0.413329,429,0.107727
430,0.990000,430,0.887262,430,0.426309,430,0.110938
431,0.989671,431,0.903219,431,0.439560,431,0.114273
432,0.988685,432,0.919001,432,0.453078,432,0.117735
433,0.987044,433,0.934588,433,0.466860,433,0.121328
434,0.984751,434,0.949959,434,0.480903,434,0.125053
435,0.981812,435,0.965094,435,0.495201,435,0.128915
436,0.978231,436,0.979971,436,0.509751,436,0.132917
437,0.974018,437,0.994572,437,0.524546,437,0.137061
438,0.969179,438,1.008876,438,0.539580,438,0.141351
439,0.963725,439,1.022861,439,0.554848,439,0.145791
440,0.957668,440,1.036510,440,0.570343,440,0.150382
441,0.951020,441,1.049802,441,0.586056,441,0.155128
442,0.943793,442,1.062718,442,0.601981,442,0.160032
443,0.936003,443,1.075240,443,0.618109,443,0.165097
444,0.927665,444,1.087348,444,0.634430,444,0.170325
445,0.918797,445,1.099024,445,0.650935,445,0.175720
446,0.909414,446,1.110252,446,0.667614,446,0.181284
447,0.899536,447,1.121014,447,0.684457,447,0.187019
448,0.889182,448,1.131294,448,0.701452,448,0.192929
449,0.878372,449,1.141076,449,0.718589,449,0.199015
450,0.867127,450,1.150345,450,0.735854,450,0.205279
451,0.855467,451,1.159087,451,0.753235,451,0.211724
452,0.843415,452,1.167287,452,0.770720,452,0.218352
453,0.830994,453,1.174934,453,0.788295,453,0.225165
454,0.818225,454,1.182015,454,0.805945,454,0.232164
455,0.805133,455,1.188518,455,0.823657,455,0.239350
456,0.791740,456,1.194435,456,0.841416,456,0.246726
457,0.778070,457,1.199754,457,0.859206,457,0.254293
458,0.764147,458,1.204468,458,0.877012,458,0.262051
459,0.749994,459,1.208568,459,0.894818,459,0.270001
460,0.735637,460,1.212050,460,0.912608,460,0.278145
461,0.721098,461,1.214906,461,0.930365,461,0.286482
462,0.706401,462,1.217132,462,0.948072,462,0.295013
463,0.691570,463,1.218724,463,0.965712,463,0.303738
464,0.676628,464,1.219681,464,0.983267,464,0.312656
465,0.661598,465,1.220000,465,1.000721,465,0.321768
466,0.646502,466,1.219681,466,1.018054,466,0.331072
467,0.631364,467,1.218724,467,1.035250,467,0.340568
468,0.616204,468,1.217132,468,1.052290,468,0.350255
469,0.601044,469,1.214906,469,1.069155,469,0.360130
470,0.585905,470,1.212050,470,1.085828,470,0.370193
471,0.570807,471,1.208568,471,1.102290,471,0.380441
472,0.555769,472,1.204468,472,1.118522,472,0.390872
473,0.540810,473,1.199754,473,1.134507,473,0.401484
474,0.525948,474,1.194435,474,1.150227,474,0.412274
475,0.511201,475,1.188518,475,1.165662,475,0.423239
476,0.496585,476,1.182015,476,1.180796,476,0.434374
477,0.482116,477,1.174934,477,1.195609,477,0.445678
478,0.467810,478,1.167287,478,1.210085,478,0.457145
479,0.453679,479,1.159087,479,1.224207,479,0.468771
480,0.439739,480,1.150345,480,1.237956,480,0.480552
481,0.426001,481,1.141076,481,1.251316,481,0.492482
482,0.412476,482,1.131294,482,1.264272,482,0.504557
483,0.399177,483,1.121014,483,1.276805,483,0.516771
484,0.386113,484,1.110252,484,1.288902,484,0.529117
485,0.373294,485,1.099024,485,1.300546,485,0.541591
486,0.360727,486,1.087348,486,1.311723,486,0.554185
487,0.348420,487,1.075240,487,1.322418,487,0.566893
488,0.336380,488,1.062718,488,1.332618,488,0.579707
489,0.324613,489,1.049802,489,1.342309,489,0.592620
490,0.313124,490,1.036510,490,1.351479,490,0.605625
491,0.301917,491,1.022861,491,1.360116,491,0.618713
492,0.290996,492,1.008876,492,1.368208,492,0.631877
493,0.280364,493,0.994572,493,1.375746,493,0.645107
494,0.270023,494,0.979971,494,1.382717,494,0.658395
495,0.259975,495,0.965094,495,1.389115,495,0.671732
496,0.250219,496,0.949959,496,1.394929,496,0.685109
497,0.240758,497,0.934588,497,1.400153,497,0.698516
498,0.231589,498,0.919001,498,1.404779,498,0.711943
499,0.222713,499,0.903219,499,1.408801,499,0.725380
500,0.214127,500,0.887262,500,1.412213,500,0.738817
501,0.205830,501,0.871150,501,1.415011,501,0.752243
502,0.197819,502,0.854903,502,1.417192,502,0.765649
503,0.190091,503,0.838543,503,1.418751,503,0.779023
504,0.182642,504,0.822087,504,1.419688,504,0.792353
505,0.175470,505,0.805557,505,1.420000,505,0.805630
506,0.168569,506,0.788971,506,1.419688,506,0.818842
507,0.161935,507,0.772347,507,1.418751,507,0.831977
508,0.155563,508,0.755706,508,1.417192,508,0.845024
509,0.149448,509,0.739065,509,1.415011,509,0.857972
510,0.143585,510,0.722441,510,1.412213,510,0.870808
511,0.137969,511,0.705853,511,1.408801,511,0.883521
512,0.132592,512,0.689316,512,1.404779,512,0.896100
513,0.127451,513,0.672848,513,1.400153,513,0.908532
514,0.122537,514,0.656464,514,1.394929,514,0.920806
515,0.117846,515,0.640179,515,1.389115,515,0.932911
516,0.113370,516,0.624009,516,1.382717,516,0.944833
517,0.109104,517,0.607967,517,1.375746,517,0.956563
518,0.105041,518,0.592067,518,1.368208,518,0.968087
519,0.101175,519,0.576322,519,1.360116,519,0.979395
520,0.097498,520,0.560745,520,1.351479,520,0.990476
521,0.094005,521,0.545346,521,1.342309,521,1.001317
522,0.090689,522,0.530138,522,1.332618,522,1.011908
523,0.087544,523,0.515130,523,1.322418,523,1.022239
524,0.084563,524,0.500333,524,1.311723,524,1.032297
525,0.081740,525,0.485755,525,1.300546,525,1.042074
526,0.079069,526,0.471406,526,1.288902,526,1.051557
527,0.076543,527,0.457293,527,1.276805,527,1.060738
528,0.074157,528,0.443423,528,1.264272,528,1.069606
529,0.071905,529,0.429804,529,1.251316,529,1.078152
530,0.069781,530,0.416441,530,1.237956,530,1.086367
531,0.067778,531,0.403339,531,1.224207,531,1.094241
532,0.065893,532,0.390503,532,1.210085,532,1.101766
533,0.064119,533,0.377939,533,1.195609,533,1.108934
534,0.062450,534,0.365648,534,1.180796,534,1.115737
535,0.060883,535,0.353635,535,1.165662,535,1.122166
536,0.059412,536,0.341901,536,1.150227,536,1.128216
537,0.058032,537,0.330450,537,1.134507,537,1.133879
538,0.056738,538,0.319282,538,1.118522,538,1.139149
539,0.055526,539,0.308398,539,1.102290,539,1.144019
540,0.054393,540,0.297798,540,1.085828,540,1.148485
541,0.053332,541,0.287484,541,1.069155,541,1.152541
542,0.052342,542,0.277453,542,1.052290,542,1.156183
543,0.051417,543,0.267706,543,1.035250,543,1.159406
544,0.050554,544,0.258241,544,1.018054,544,1.162207
545,0.049749,545,0.249056,545,1.000721,545,1.164582
546,0.049000,546,0.240150,546,0.983267,546,1.166530
547,0.048302,547,0.231519,547,0.965712,547,1.168047
548,0.047653,548,0.223162,548,0.948072,548,1.169131
549,0.047050,549,0.215074,549,0.930365,549,1.169783
550,0.046490,550,0.207254,550,0.912608,550,1.170000
551,0.045971,551,0.199696,551,0.894818,551,1.169783
552,0.045489,552,0.192397,552,0.877012,552,1.169131
553,0.045042,553,0.185353,553,0.859206,553,1.168047
554,0.044629,554,0.178560,554,0.841416,554,1.166530
555,0.044247,555,0.172012,555,0.823657,555,1.164582
556,0.043893,556,0.165707,556,0.805945,556,1.162207
557,0.043567,557,0.159637,557,0.788295,557,1.159406
558,0.043265,558,0.153799,558,0.770720,558,1.156183
559,0.042987,559,0.148188,559,0.753235,559,1.152541
560,0.042731,560,0.142798,560,0.735854,560,1.148485
561,0.042495,561,0.137623,561,0.718589,561,1.144019
562,0.042278,562,0.132659,562,0.701452,562,1.139149
563,0.042078,563,0.127899,563,0.684457,563,1.133879
564,0.041895,564,0.123339,564,0.667614,564,1.128216
565,0.041726,565,0.118973,565,0.650935,565,1.122166
566,0.041571,566,0.114795,566,0.634430,566,1.115737
567,0.041430,567,0.110800,567,0.618109,567,1.108934
568,0.041300,568,0.106982,568,0.601981,568,1.101766
569,0.041181,569,0.103335,569,0.586056,569,1.094241
570,0.041072,570,0.099855,570,0.570343,570,1.086367
571,0.040973,571,0.096536,571,0.554848,571,1.078152
572,0.040882,572,0.093371,572,0.539580,572,1.069606
573,0.040799,573,0.090357,573,0.524546,573,1.060738
574,0.040724,574,0.087487,574,0.509751,574,1.051557
575,0.040655,575,0.084756,575,0.495201,575,1.042074
576,0.040592,576,0.082160,576,0.480903,576,1.032297
577,0.040535,577,0.079693,577,0.466860,577,1.022239
578,0.040483,578,0.077350,578,0.453078,578,1.011908
579,0.040436,579,0.075126,579,0.439560,579,1.001317
580,0.040393,580,0.073017,580,0.426309,580,0.990476
581,0.040354,581,0.071017,581,0.413329,581,0.979395
582,0.040319,582,0.069123,582,0.400621,582,0.968087
583,0.040287,583,0.067330,583,0.388189,583,0.956563
584,0.040258,584,0.065634,584,0.376033,584,0.944833
585,0.040232,585,0.064029,585,0.364154,585,0.932911
586,0.040208,586,0.062513,586,0.352554,586,0.920806
587,0.040187,587,0.061081,587,0.341233,587,0.908532
588,0.040167,588,0.059730,588,0.330190,588,0.896100
589,0.040150,589,0.058455,589,0.319426,589,0.883521
590,0.040134,590,0.057253,590,0.308939,590,0.870808
591,0.040120,591,0.056121,591,0.298728,591,0.857972
592,0.040107,592,0.055055,592,0.288793,592,0.845024
593,0.040096,593,0.054052,593,0.279131,593,0.831977
594,0.040086,594,0.053109,594,0.269740,594,0.818842
595,0.040076,595,0.052222,595,0.260617,595,0.805630
596,0.040068,596,0.051389,596,0.251762,596,0.792353
597,0.040061,597,0.050607,597,0.243169,597,0.779023
598,0.040054,598,0.049874,598,0.234837,598,0.765649
599,0.040048,599,0.049186,599,0.226763,599,0.752243
600,0.040043,600,0.048541,600,0.218942,600,0.738817
601,0.040038,601,0.047938,601,0.211370,601,0.725380
602,0.040034,602,0.047373,602,0.204045,602,0.711943
603,0.040030,603,0.046845,603,0.196962,603,0.698516
604,0.040027,604,0.046351,604,0.190117,604,0.685109
605,0.040024,605,0.045889,605,0.183505,605,0.671732
606,0.040021,606,0.045458,606,0.177123,606,0.658395
607,0.040018,607,0.045056,607,0.170965,607,0.645107
608,0.040016,608,0.044681,608,0.165027,608,0.631877
609,0.040014,609,0.044332,609,0.159304,609,0.618713
610,0.040013,610,0.044006,610,0.153791,610,0.605625
611,0.040011,611,0.043703,611,0.148484,611,0.592620
612,0.040010,612,0.043421,612,0.143378,612,0.579707
613,0.040009,613,0.043158,613,0.138468,613,0.566893
614,0.040008,614,0.042915,614,0.133748,614,0.554185
615,0.040007,615,0.042688,615,0.129214,615,0.541591
616,0.040006,616,0.042478,616,0.124861,616,0.529117
617,0.040005,617,0.042283,617,0.120684,617,0.516771
618,0.040005,618,0.042102,618,0.116678,618,0.504557
619,0.040004,619,0.041935,619,0.112838,619,0.492482
620,0.040004,620,0.041780,620,0.109159,620,0.480552
621,0.040003,621,0.041636,621,0.105636,621,0.468771
622,0.040003,622,0.041503,622,0.102264,622,0.457145
623,0.040002,623,0.041381,623,0.099038,623,0.445678
624,0.040002,624,0.041267,624,0.095955,624,0.434374
625,0.040002,625,0.041163,625,0.093008,625,0.423239
626,0.040002,626,0.041066,626,0.090194,626,0.412274
627,0.040001,627,0.040977,627,0.087508,627,0.401484
628,0.040001,628,0.040895,628,0.084945,628,0.390872
629,0.040001,629,0.040819,629,0.082501,629,0.380441
630,0.040001,630,0.040749,630,0.080172,630,0.370193
631,0.040001,631,0.040685,631,0.077953,631,0.360130
632,0.040001,632,0.040626,632,0.075841,632,0.350255
633,0.040001,633,0.040572,633,0.073831,633,0.340568
634,0.040001,634,0.040522,634,0.071919,634,0.331072
635,0.040000,635,0.040476,635,0.070102,635,0.321768
636,0.040000,636,0.040434,636,0.068375,636,0.312656
637,0.040000,637,0.040396,637,0.066735,637,0.303738
638,0.040000,638,0.040361,638,0.065179,638,0.295013
639,0.040000,639,0.040328,639,0.063702,639,0.286482
640,0.040000,640,0.040299,640,0.062302,640,0.278145
641,0.040000,641,0.040272,641,0.060975,641,0.270001
642,0.040000,642,0.040247,642,0.059718,642,0.262051
643,0.040000,643,0.040224,643,0.058528,643,0.254293
644,0.040000,644,0.040204,644,0.057402,644,0.246726
645,0.040000,645,0.040185,645,0.056337,645,0.239350
646,0.040000,646,0.040168,646,0.055330,646,0.232164
647,0.040000,647,0.040152,647,0.054379,647,0.225165
648,0.040000,648,0.040138,648,0.053481,648,0.218352
649,0.040000,649,0.040125,649,0.052633,649,0.211724
650,0.040000,650,0.040113,650,0.051833,650,0.205279
651,0.040000,651,0.040102,651,0.051079,651,0.199015
652,0.040000,652,0.040092,652,0.050368,652,0.192929
653,0.040000,653,0.040083,653,0.049698,653,0.187019
654,0.040000,654,0.040075,654,0.049068,654,0.181284
655,0.040000,655,0.040068,655,0.048474,655,0.175720
656,0.040000,656,0.040061,656,0.047916,656,0.170325
657,0.040000,657,0.040055,657,0.047391,657,0.165097
658,0.040000,658,0.040050,658,0.046898,658,0.160032
659,0.040000,659,0.040045,659,0.046435,659,0.155128
660,0.040000,660,0.040040,660,0.046001,660,0.150382
661,0.040000,661,0.040036,661,0.045593,661,0.145791
662,0.040000,662,0.040033,662,0.045210,662,0.141351
663,0.040000,663,0.040029,663,0.044852,663,0.137061
664,0.040000,664,0.040026,664,0.044516,664,0.132917
665,0.040000,665,0.040024,665,0.044201,665,0.128915
666,0.040000,666,0.040021,666,0.043907,666,0.125053
667,0.040000,667,0.040019,667,0.043631,667,0.121328
668,0.040000,668,0.040017,668,0.043374,668,0.117735
669,0.040000,669,0.040015,669,0.043133,669,0.114273
670,0.040000,670,0.040014,670,0.042908,670,0.110938
671,0.040000,671,0.040012,671,0.042698,671,0.107727
672,0.040000,672,0.040011,672,0.042502,672,0.104636
673,0.040000,673,0.040010,673,0.042320,673,0.101662
674,0.040000,674,0.040009,674,0.042149,674,0.098803
675,0.040000,675,0.040008,675,0.041991,675,0.096054
676,0.040000,676,0.040007,676,0.041843,676,0.093414
677,0.040000,677,0.040006,677,0.041705,677,0.090878
678,0.040000,678,0.040006,678,0.041577,678,0.088444
679,0.040000,679,0.040005,679,0.041458,679,0.086109
680,0.040000,680,0.040004,680,0.041347,680,0.083870
681,0.040000,681,0.040004,681,0.041244,681,0.081723
682,0.040000,682,0.040003,682,0.041149,682,0.079666
683,0.040000,683,0.040003,683,0.041060,683,0.077696
684,0.040000,684,0.040003,684,0.040978,684,0.075810
685,0.040000,685,0.040002,685,0.040901,685,0.074005
686,0.040000,686,0.040002,686,0.040831,686,0.072279
687,0.040000,687,0.040002,687,0.040765,687,0.070629
688,0.040000,688,0.040002,688,0.040704,688,0.069052
689,0.040000,689,0.040002,689,0.040648,689,0.067545
690,0.040000,690,0.040001,690,0.040596,690,0.066107
691,0.040000,691,0.040001,691,0.040548,691,0.064734
692,0.040000,692,0.040001,692,0.040504,692,0.063424
693,0.040000,693,0.040001,693,0.040463,693,0.062175
694,0.040000,694,0.040001,694,0.040425,694,0.060985
695,0.040000,695,0.040001,695,0.040390,695,0.059851
696,0.040000,696,0.040001,696,0.040358,696,0.058771
697,0.040000,697,0.040001,697,0.040328,697,0.057743
698,0.040000,698,0.040000,698,0.040301,698,0.056765
699,0.040000,699,0.040000,699,0.040276,699,0.055835
700,0.040000,700,0.040000,700,0.040252,700,0.054950
701,0.040000,701,0.040000,701,0.040231,701,0.054110
702,0.040000,702,0.040000,702,0.040211,702,0.053311
703,0.040000,703,0.040000,703,0.040193,703,0.052553
704,0.040000,704,0.040000,704,0.040177,704,0.051834
705,0.040000,705,0.040000,705,0.040161,705,0.051151
706,0.040000,706,0.040000,706,0.040147,706,0.050504
707,0.040000,707,0.040000,707,0.040135,707,0.049891
708,0.040000,708,0.040000,708,0.040123,708,0.049310
709,0.040000,709,0.040000,709,0.040112,709,0.048759
710,0.040000,710,0.040000,710,0.040102,710,0.048238
711,0.040000,711,0.040000,711,0.040093,711,0.047745
712,0.040000,712,0.040000,712,0.040085,712,0.047279
713,0.040000,713,0.040000,713,0.040077,713,0.046838
714,0.040000,714,0.040000,714,0.040070,714,0.046422
715,0.040000,715,0.040000,715,0.040064,715,0.046028
716,0.040000,716,0.040000,716,0.040058,716,0.045656
717,0.040000,717,0.040000,717,0.040053,717,0.045306
718,0.040000,718,0.040000,718,0.040048,718,0.044975
719,0.040000,719,0.040000,719,0.040043,719,0.044663
720,0.040000,720,0.040000,720,0.040039,720,0.044368
721,0.040000,721,0.040000,721,0.040036,721,0.044091
722,0.040000,722,0.040000,722,0.040032,722,0.043830
723,0.040000,723,0.040000,723,0.040029,723,0.043584
724,0.040000,724,0.040000,724,0.040027,724,0.043353
725,0.040000,725,0.040000,725,0.040024,725,0.043136
726,0.040000,726,0.040000,726,0.040022,726,0.042931
727,0.040000,727,0.040000,727,0.040020,727,0.042739
728,0.040000,728,0.040000,728,0.040018,728,0.042558
729,0.040000,729,0.040000,729,0.040016,729,0.042388
730,0.040000,730,0.040000,730,0.040015,730,0.042229
731,0.040000,731,0.040000,731,0.040013,731,0.042080
732,0.040000,732,0.040000,732,0.040012,732,0.041939
733,0.040000,733,0.040000,733,0.040011,733,0.041808
734,0.040000,734,0.040000,734,0.040010,734,0.041685
735,0.040000,735,0.040000,735,0.040009,735,0.041570
736,0.040000,736,0.040000,736,0.040008,736,0.041461
737,0.040000,737,0.040000,737,0.040007,737,0.041360
738,0.040000,738,0.040000,738,0.040006,738,0.041266
739,0.040000,739,0.040000,739,0.040006,739,0.041177
740,0.040000,740,0.040000,740,0.040005,740,0.041095
741,0.040000,741,0.040000,741,0.040005,741,0.041017
742,0.040000,742,0.040000,742,0.040004,742,0.040945
743,0.040000,743,0.040000,743,0.040004,743,0.040878
